method,alerts_generated,actual_frauds_caught,false_positives,false_negatives,precision,recall,f1,alert_rate
Rules-based baseline,1231,31,1200,68,0.025183,0.313131,0.046617,0.021611
Model @ threshold 0.50,94,82,12,17,0.87234,0.828283,0.849741,0.00165
