risk_band,transactions,avg_probability,actual_frauds,fraud_rate,avg_amount
Critical,64,0.9737038990879218,60,0.9375,98.34234375
High,23,0.8085173950719657,18,0.782608695652174,53.35608695652174
Low,56837,0.011239280220566026,12,0.0002111300737195841,88.11977884124778
Medium,38,0.4002989643262513,9,0.23684210526315788,42.88131578947368
