threshold,alerts_generated,alert_rate,actual_frauds_caught,fraud_capture_rate,false_positives,false_negatives,precision,recall,f1,monitoring_mode
0.3,170,0.002388,105,0.853659,65,18,0.617647,0.853659,0.716724,Aggressive
0.4,143,0.002008,102,0.829268,41,21,0.713287,0.829268,0.766917,Balanced
0.5,119,0.001671,98,0.796748,21,25,0.823529,0.796748,0.809917,Balanced
0.6,113,0.001587,95,0.772358,18,28,0.840708,0.772358,0.805085,High Precision
0.7,106,0.001489,92,0.747967,14,31,0.867925,0.747967,0.803493,High Precision
0.8,94,0.00132,81,0.658537,13,42,0.861702,0.658537,0.746544,High Precision
0.9,80,0.001124,74,0.601626,6,49,0.925,0.601626,0.729064,High Precision
